id,name_wikitag,ppg,ppg_id,start_date,end_date,landtag_state_abb,electoralperiod
/wiki/Barbara_Hiltawski-rp-12,/wiki/Barbara_Hiltawski,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Dieter_H%C3%B6rner-rp-12,/wiki/Dieter_H%C3%B6rner,CDU,CDU,1991-05-21,1996-05-19,rp,12
"/wiki/Karl_Hoppe_(Politiker,_1934)-rp-12","/wiki/Karl_Hoppe_(Politiker,_1934)",CDU,CDU,1991-05-21,1992-09-30,rp,12
/wiki/Lothar_Horlacher-rp-12,/wiki/Lothar_Horlacher,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Achim_H%C3%BCtten-rp-12,/wiki/Achim_H%C3%BCtten,SPD,SPD,1991-05-21,1993-02-04,rp,12
/wiki/Gerd_Itzek-rp-12,/wiki/Gerd_Itzek,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Eda_Jahns-rp-12,/wiki/Eda_Jahns,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Herbert_Jullien-rp-12,/wiki/Herbert_Jullien,CDU,CDU,1994-08-01,1996-05-19,rp,12
/wiki/Karl_Heinz_J%C3%BCrging-rp-12,/wiki/Karl_Heinz_J%C3%BCrging,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Emil_Wolfgang_Keller-rp-12,/wiki/Emil_Wolfgang_Keller,CDU,CDU,1991-05-21,1996-05-19,rp,12
"/wiki/Josef_Keller_(Politiker,_1949)-rp-12","/wiki/Josef_Keller_(Politiker,_1949)",CDU,CDU,1995-01-01,1996-05-19,rp,12
/wiki/Anne_Kipp-rp-12,/wiki/Anne_Kipp,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Hannelore_Klamm-rp-12,/wiki/Hannelore_Klamm,SPD,SPD,1994-11-07,1996-05-19,rp,12
/wiki/Gerhard_Kneib-rp-12,/wiki/Gerhard_Kneib,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Marlies_Kohnle-Gros-rp-12,/wiki/Marlies_Kohnle-Gros,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Gabriele_Kokott-Weidenfeld-rp-12,/wiki/Gabriele_Kokott-Weidenfeld,CDU,CDU,1991-05-21,1996-05-19,rp,12
"/wiki/Helmut_Konrad_(Politiker,_1926)-rp-12","/wiki/Helmut_Konrad_(Politiker,_1926)",FDP,FDP,1991-06-04,1996-05-19,rp,12
/wiki/Franz-Gerd_Kraemer-rp-12,/wiki/Franz-Gerd_Kraemer,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Manfred_Kramer-rp-12,/wiki/Manfred_Kramer,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/J%C3%BCrgen_Kroh-rp-12,/wiki/J%C3%BCrgen_Kroh,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Klaus-J%C3%BCrgen_Lais-rp-12,/wiki/Klaus-J%C3%BCrgen_Lais,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Bernd_Lang-rp-12,/wiki/Bernd_Lang,SPD,SPD,1991-05-27,1996-05-19,rp,12
/wiki/Roland_Lang_(Politiker)-rp-12,/wiki/Roland_Lang_(Politiker),SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Werner_Langen-rp-12,/wiki/Werner_Langen,CDU,CDU,1991-05-21,1994-07-31,rp,12
/wiki/Ernst_Lautenbach-rp-12,/wiki/Ernst_Lautenbach,CDU,CDU,1991-05-21,1993-03-16,rp,12
/wiki/Erhard_Lelle-rp-12,/wiki/Erhard_Lelle,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Roger_Lewentz-rp-12,/wiki/Roger_Lewentz,SPD,SPD,1994-11-09,1996-05-19,rp,12
/wiki/Alexander_Licht-rp-12,/wiki/Alexander_Licht,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Evi_Linnerth-rp-12,/wiki/Evi_Linnerth,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Hans_J%C3%BCrgen_Machwirth-rp-12,/wiki/Hans_J%C3%BCrgen_Machwirth,CDU,CDU,1994-11-09,1996-05-19,rp,12
/wiki/Joachim_Mertes-rp-12,/wiki/Joachim_Mertes,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Josef_Peter_Mertes-rp-12,/wiki/Josef_Peter_Mertes,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Lambert_Mohr-rp-12,/wiki/Lambert_Mohr,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Christine_M%C3%BCller_(Politikerin)-rp-12,/wiki/Christine_M%C3%BCller_(Politikerin),CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Dieter_Muscheid-rp-12,/wiki/Dieter_Muscheid,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Clemens_Nagel-rp-12,/wiki/Clemens_Nagel,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Gisela_Neubauer-rp-12,/wiki/Gisela_Neubauer,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Margot_Nienk%C3%A4mper-rp-12,/wiki/Margot_Nienk%C3%A4mper,CDU,CDU,1991-05-21,1996-05-19,rp,12
/wiki/Renate_Pepper-rp-12,/wiki/Renate_Pepper,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Carsten_P%C3%B6rksen-rp-12,/wiki/Carsten_P%C3%B6rksen,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Fritz_Preuss-rp-12,/wiki/Fritz_Preuss,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Axel_Redmer-rp-12,/wiki/Axel_Redmer,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Udo_Reichenbecher-rp-12,/wiki/Udo_Reichenbecher,SPD,SPD,1991-05-21,1991-05-23,rp,12
"/wiki/Heinrich_Reisinger_(Politiker,_1941)-rp-12","/wiki/Heinrich_Reisinger_(Politiker,_1941)",FDP,FDP,1991-05-21,1996-05-19,rp,12
/wiki/Sigurd_Remy-rp-12,/wiki/Sigurd_Remy,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Theresia_Riedmaier-rp-12,/wiki/Theresia_Riedmaier,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Dietmar_Rieth-rp-12,/wiki/Dietmar_Rieth,Grüne,GRÜNE,1991-05-21,1996-05-19,rp,12
/wiki/G%C3%BCnter_R%C3%B6sch-rp-12,/wiki/G%C3%BCnter_R%C3%B6sch,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Hildegard_Rogel-rp-12,/wiki/Hildegard_Rogel,SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Gerhard_Roth_(Politiker)-rp-12,/wiki/Gerhard_Roth_(Politiker),SPD,SPD,1991-05-21,1996-05-19,rp,12
/wiki/Jeanette_Rott-rp-12,/wiki/Jeanette_Rott,SPD,SPD,1991-05-21,1994-11-03,rp,12
/wiki/Fredy_Sch%C3%A4fer-rp-12,/wiki/Fredy_Sch%C3%A4fer,CDU,CDU,1993-03-28,1996-05-19,rp,12
