"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BY.9","/wiki/Helmut_Ritzer-by-14","/wiki/Helmut_Ritzer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-09-28,2003-10-05,"by",14
"BY.10","/wiki/Roswitha_Riess-by-14","/wiki/Roswitha_Riess","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-09-28,2003-10-05,"by",14
"BY.11","/wiki/Alois_Gl%C3%BCck-by-15","/wiki/Alois_Gl%C3%BCck","Landtagspräsident/in","Landtagspräsident/in",2003-10-06,2008-10-19,"by",15
"BY.12","/wiki/Barbara_Stamm-by-15","/wiki/Barbara_Stamm","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-10-06,2008-10-19,"by",15
"BY.13","/wiki/Peter_Paul_Gantzer-by-15","/wiki/Peter_Paul_Gantzer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-10-06,2008-10-19,"by",15
"BY.14","/wiki/Barbara_Stamm-by-16","/wiki/Barbara_Stamm","Landtagspräsident/in","Landtagspräsident/in",2008-10-20,2013-10-06,"by",16
"BY.15","/wiki/Reinhold_Bocklet-by-16","/wiki/Reinhold_Bocklet","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-10-20,2013-10-06,"by",16
"BY.16","/wiki/Peter_Paul_Gantzer-by-16","/wiki/Peter_Paul_Gantzer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-10-20,2009-12-15,"by",16
"BY.17","/wiki/Franz_Maget-by-16","/wiki/Franz_Maget","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2009-12-16,2013-10-06,"by",16
"BY.18","/wiki/Peter_Meyer_(Politiker,_1963)-by-16","/wiki/Peter_Meyer_(Politiker,_1963)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-10-20,2013-10-06,"by",16
"BY.19","/wiki/Christine_Stahl-by-16","/wiki/Christine_Stahl","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-10-20,2013-10-06,"by",16
"BY.20","/wiki/Barbara_Stamm-by-17","/wiki/Barbara_Stamm","Landtagspräsident/in","Landtagspräsident/in",2013-10-07,2018-11-04,"by",17
"BY.21","/wiki/Reinhold_Bocklet-by-17","/wiki/Reinhold_Bocklet","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2013-10-07,2018-11-04,"by",17
