"","id","name.wikitag","fraction","fraction.id","start.date","end.date","landtag.state.abb","electoralperiod"
"BW.759","/wiki/J%C3%BCrgen_Filius-bw-15","/wiki/J%C3%BCrgen_Filius","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.760","/wiki/Josef_Frey-bw-15","/wiki/Josef_Frey","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.761","/wiki/J%C3%B6rg_Fritz-bw-15","/wiki/J%C3%B6rg_Fritz","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.762","/wiki/Stefan_Fulst-Blei-bw-15","/wiki/Stefan_Fulst-Blei","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.763","/wiki/Thomas_Funk-bw-15","/wiki/Thomas_Funk","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.764","/wiki/Reinhold_Gall-bw-15","/wiki/Reinhold_Gall","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.765","/wiki/Andreas_Gl%C3%BCck-bw-15","/wiki/Andreas_Gl%C3%BCck","FDP/DVP","FDP",2011-05-11,2016-05-10,"bw",15
"BW.766","/wiki/Ulrich_Goll-bw-15","/wiki/Ulrich_Goll","FDP/DVP","FDP",2011-05-11,2016-05-10,"bw",15
"BW.767","/wiki/Tanja_G%C3%B6nner-bw-15","/wiki/Tanja_G%C3%B6nner","CDU","CDU",2011-05-11,2012-06-30,"bw",15
"BW.768","/wiki/Anneke_Graner-bw-15","/wiki/Anneke_Graner","SPD","SPD",2013-03-16,2016-05-10,"bw",15
"BW.769","/wiki/Leopold_Grimm-bw-15","/wiki/Leopold_Grimm","FDP/DVP","FDP",2011-05-11,2014-07-31,"bw",15
"BW.770","/wiki/Manfred_Groh-bw-15","/wiki/Manfred_Groh","CDU","CDU",2011-05-11,2014-09-30,"bw",15
"BW.771","/wiki/Gernot_Gruber_(Politiker)-bw-15","/wiki/Gernot_Gruber_(Politiker)","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.772","/wiki/Rosa_Gr%C3%BCnstein-bw-15","/wiki/Rosa_Gr%C3%BCnstein","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.773","/wiki/Hidir_G%C3%BCrakar-bw-15","/wiki/Hidir_G%C3%BCrakar","SPD","SPD",2014-01-07,2016-05-10,"bw",15
"BW.774","/wiki/Friedlinde_Gurr-Hirsch-bw-15","/wiki/Friedlinde_Gurr-Hirsch","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.775","/wiki/Petra_H%C3%A4ffner-bw-15","/wiki/Petra_H%C3%A4ffner","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.776","/wiki/Martin_Hahn_(Politiker)-bw-15","/wiki/Martin_Hahn_(Politiker)","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.777","/wiki/Wilhelm_Halder-bw-15","/wiki/Wilhelm_Halder","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.778","/wiki/Hans-Martin_Haller-bw-15","/wiki/Hans-Martin_Haller","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.779","/wiki/Rita_Haller-Haid-bw-15","/wiki/Rita_Haller-Haid","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.780","/wiki/Peter_Hauk-bw-15","/wiki/Peter_Hauk","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.781","/wiki/Jochen_Hau%C3%9Fmann-bw-15","/wiki/Jochen_Hau%C3%9Fmann","FDP/DVP","FDP",2011-05-11,2016-05-10,"bw",15
"BW.782","/wiki/Helen_Heberer-bw-15","/wiki/Helen_Heberer","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.783","/wiki/Walter_Heiler-bw-15","/wiki/Walter_Heiler","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.784","/wiki/Klaus_Herrmann_(Politiker,_1959)-bw-15","/wiki/Klaus_Herrmann_(Politiker,_1959)","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.785","/wiki/Dieter_Hillebrand-bw-15","/wiki/Dieter_Hillebrand","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.786","/wiki/Rainer_Hinderer-bw-15","/wiki/Rainer_Hinderer","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.787","/wiki/Bernd_Hitzler-bw-15","/wiki/Bernd_Hitzler","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.788","/wiki/Peter_Hofelich-bw-15","/wiki/Peter_Hofelich","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.789","/wiki/Manfred_Hollenbach-bw-15","/wiki/Manfred_Hollenbach","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.790","/wiki/Karl-Wolfgang_J%C3%A4gel-bw-15","/wiki/Karl-Wolfgang_J%C3%A4gel","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.791","/wiki/Klaus_K%C3%A4ppeler-bw-15","/wiki/Klaus_K%C3%A4ppeler","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.792","/wiki/Manfred_Kern_(Politiker)-bw-15","/wiki/Manfred_Kern_(Politiker)","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.793","/wiki/Timm_Kern-bw-15","/wiki/Timm_Kern","FDP/DVP","FDP",2011-05-11,2016-05-10,"bw",15
"BW.794","/wiki/Karl_Klein_(Politiker)-bw-15","/wiki/Karl_Klein_(Politiker)","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.795","/wiki/Gerhard_Kleinb%C3%B6ck-bw-15","/wiki/Gerhard_Kleinb%C3%B6ck","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.796","/wiki/Wilfried_Klenk-bw-15","/wiki/Wilfried_Klenk","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.797","/wiki/Rudolf_K%C3%B6berle-bw-15","/wiki/Rudolf_K%C3%B6berle","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.798","/wiki/Ernst_Kopp_(Politiker)-bw-15","/wiki/Ernst_Kopp_(Politiker)","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.799","/wiki/Joachim_K%C3%B6%C3%9Fler-bw-15","/wiki/Joachim_K%C3%B6%C3%9Fler","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.800","/wiki/Winfried_Kretschmann-bw-15","/wiki/Winfried_Kretschmann","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.801","/wiki/Thadd%C3%A4us_Kunzmann-bw-15","/wiki/Thadd%C3%A4us_Kunzmann","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.802","/wiki/Sabine_Kurtz-bw-15","/wiki/Sabine_Kurtz","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.803","/wiki/Bernhard_Lasotta-bw-15","/wiki/Bernhard_Lasotta","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.804","/wiki/Daniel_Andreas_Lede_Abal-bw-15","/wiki/Daniel_Andreas_Lede_Abal","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.805","/wiki/Siegfried_Lehmann_(Politiker)-bw-15","/wiki/Siegfried_Lehmann_(Politiker)","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.806","/wiki/Andrea_Lindlohr-bw-15","/wiki/Andrea_Lindlohr","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.807","/wiki/Paul_Locherer-bw-15","/wiki/Paul_Locherer","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.808","/wiki/Reinhard_L%C3%B6ffler_(Politiker)-bw-15","/wiki/Reinhard_L%C3%B6ffler_(Politiker)","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.809","/wiki/Brigitte_L%C3%B6sch-bw-15","/wiki/Brigitte_L%C3%B6sch","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.810","/wiki/Manfred_Lucha-bw-15","/wiki/Manfred_Lucha","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.811","/wiki/Ulrich_Lusche-bw-15","/wiki/Ulrich_Lusche","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.812","/wiki/Winfried_Mack-bw-15","/wiki/Winfried_Mack","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.813","/wiki/Klaus_Maier_(Politiker)-bw-15","/wiki/Klaus_Maier_(Politiker)","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.814","/wiki/Stefan_Mappus-bw-15","/wiki/Stefan_Mappus","CDU","CDU",2011-05-11,2011-08-31,"bw",15
"BW.815","/wiki/Thomas_Marwein-bw-15","/wiki/Thomas_Marwein","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.816","/wiki/Bettina_Meier-Augenstein-bw-15","/wiki/Bettina_Meier-Augenstein","CDU","CDU",2014-10-01,2016-05-10,"bw",15
"BW.817","/wiki/Frank_Mentrup-bw-15","/wiki/Frank_Mentrup","SPD","SPD",2011-05-11,2013-03-15,"bw",15
"BW.818","/wiki/B%C3%A4rbl_Mielich-bw-15","/wiki/B%C3%A4rbl_Mielich","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.819","/wiki/Ulrich_M%C3%BCller_(Politiker)-bw-15","/wiki/Ulrich_M%C3%BCller_(Politiker)","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.820","/wiki/Bernd_Murschel-bw-15","/wiki/Bernd_Murschel","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.821","/wiki/Georg_Nelius-bw-15","/wiki/Georg_Nelius","SPD","SPD",2011-05-11,2016-05-10,"bw",15
"BW.822","/wiki/Paul_Nemeth-bw-15","/wiki/Paul_Nemeth","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.823","/wiki/Claus_Paal-bw-15","/wiki/Claus_Paal","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.824","/wiki/G%C3%BCnther-Martin_Pauli-bw-15","/wiki/G%C3%BCnther-Martin_Pauli","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.825","/wiki/Reinhold_Pix-bw-15","/wiki/Reinhold_Pix","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.826","/wiki/Thomas_Poreski-bw-15","/wiki/Thomas_Poreski","Grüne","GRÜNE",2011-05-11,2016-05-10,"bw",15
"BW.827","/wiki/Matthias_Pr%C3%B6frock-bw-15","/wiki/Matthias_Pr%C3%B6frock","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.828","/wiki/Werner_Raab-bw-15","/wiki/Werner_Raab","CDU","CDU",2011-05-11,2016-05-10,"bw",15
"BW.829","/wiki/Patrick_Rapp-bw-15","/wiki/Patrick_Rapp","CDU","CDU",2011-05-11,2016-05-10,"bw",15
