id,name.wikitag,ministry,ministry.clean,position,position.clean,cabinet,party,economy,environment,education,infrastructure,health,justice,agriculture,culture_leisure,technology,regional,family,migration,genderequality,social,international,interior,state_chancellery,start.date,end.date,landtag.state.abb,electoralperiod
/wiki/Peter_Gloystein-hb-16,/wiki/Peter_Gloystein,Staatskanzlei,staatskanzlei,Stellvertretende/r Präsident/in des Senats und Bürgermeister/in,Stellvertretendes Regierungsoberhaupt,Scherf III,CDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2004-09-08,2005-05-12,hb,16
/wiki/Thomas_R%C3%B6wekamp-hb-16,/wiki/Thomas_R%C3%B6wekamp,Staatskanzlei,staatskanzlei,Stellvertretende/r Präsident/in des Senats und Bürgermeister/in,Stellvertretendes Regierungsoberhaupt,Scherf III,CDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005-05-25,2005-11-07,hb,16
/wiki/Thomas_R%C3%B6wekamp-hb-16,/wiki/Thomas_R%C3%B6wekamp,Inneres und Sport,inneres sport,Senator/in,Minister/in,Scherf III,CDU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2003-07-04,2005-11-07,hb,16
/wiki/Ulrich_Nu%C3%9Fbaum-hb-16,/wiki/Ulrich_Nu%C3%9Fbaum,Finanzen,finanzen,Senator/in,Minister/in,Scherf III,SPD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-07-04,2005-11-07,hb,16
/wiki/Hartmut_Perschau-hb-16,/wiki/Hartmut_Perschau,Wirtschaft und Häfen,wirtschaft häfen,Senator/in,Minister/in,Scherf III,CDU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-07-04,2004-07-13,hb,16
/wiki/Jens_Eckhoff_(Politiker)-hb-16,/wiki/Jens_Eckhoff_(Politiker),Wirtschaft und Häfen,wirtschaft häfen,Senator/in,Minister/in,Scherf III,CDU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-07-14,2004-09-08,hb,16
/wiki/Peter_Gloystein-hb-16,/wiki/Peter_Gloystein,Wirtschaft und Häfen,wirtschaft häfen,Senator/in,Minister/in,Scherf III,CDU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004-09-09,2005-05-12,hb,16
/wiki/J%C3%B6rg_Kastendiek-hb-16,/wiki/J%C3%B6rg_Kastendiek,Wirtschaft und Häfen,wirtschaft häfen,Senator/in,Minister/in,Scherf III,CDU,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-05-25,2005-11-07,hb,16
/wiki/Jens_Eckhoff_(Politiker)-hb-16,/wiki/Jens_Eckhoff_(Politiker),"Bau, Umwelt und Verkehr",bau umwelt verkehr,Senator/in,Minister/in,Scherf III,CDU,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-07-04,2005-11-07,hb,16
/wiki/Willi_Lemke-hb-16,/wiki/Willi_Lemke,Bildung und Wissenschaft,bildung wissenschaft,Senator/in,Minister/in,Scherf III,SPD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-07-04,2005-11-07,hb,16
