"","id","name.wikitag","fraction","fraction.id","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BY.83","/wiki/Volkmar_Halbleib-by-16","/wiki/Volkmar_Halbleib","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2011-06-08,2013-07-18,"by",16
"BY.84","/wiki/Inge_Aures-by-16","/wiki/Inge_Aures","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2011-06-08,2013-07-18,"by",16
"BY.85","/wiki/Natascha_Kohnen-by-16","/wiki/Natascha_Kohnen","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2011-06-08,2013-07-18,"by",16
"BY.86","/wiki/Hubert_Aiwanger-by-16","/wiki/Hubert_Aiwanger","Freie Wähler","Freie Wähler","Fraktionsvorsitz","Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.87","/wiki/Eva_Gottstein-by-16","/wiki/Eva_Gottstein","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2009-09-15,"by",16
"BY.88","/wiki/Eva_Gottstein-by-16","/wiki/Eva_Gottstein","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2011-03-22,2013-07-18,"by",16
"BY.89","/wiki/Michael_Piazolo-by-16","/wiki/Michael_Piazolo","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2011-03-21,"by",16
"BY.90","/wiki/Bernhard_Pohl-by-16","/wiki/Bernhard_Pohl","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2009-09-15,"by",16
"BY.91","/wiki/Bernhard_Pohl-by-16","/wiki/Bernhard_Pohl","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2011-03-22,2013-07-18,"by",16
"BY.92","/wiki/Alexander_Muthmann-by-16","/wiki/Alexander_Muthmann","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2009-09-16,2013-07-18,"by",16
"BY.93","/wiki/Florian_Streibl-by-16","/wiki/Florian_Streibl","Freie Wähler","Freie Wähler","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2009-09-16,2011-03-21,"by",16
"BY.94","/wiki/Margarete_Bause-by-16","/wiki/Margarete_Bause","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.95","/wiki/Sepp_Daxenberger-by-16","/wiki/Sepp_Daxenberger","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2008-10-20,2010-06-16,"by",16
"BY.96","/wiki/Thomas_M%C3%BCtze-by-16","/wiki/Thomas_M%C3%BCtze","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2010-06-17,2011-02-09,"by",16
"BY.97","/wiki/Martin_Runge_(Politiker)-by-16","/wiki/Martin_Runge_(Politiker)","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2011-02-10,2013-07-18,"by",16
"BY.98","/wiki/Thomas_Hacker-by-16","/wiki/Thomas_Hacker","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.99","/wiki/Andreas_Fischer_(Politiker)-by-16","/wiki/Andreas_Fischer_(Politiker)","FDP","FDP","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.100","/wiki/Karsten_Klein-by-16","/wiki/Karsten_Klein","FDP","FDP","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2013-07-18,"by",16
"BY.101","/wiki/Otto_Bertermann-by-16","/wiki/Otto_Bertermann","FDP","FDP","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2008-10-20,2013-02-20,"by",16
"BY.102","/wiki/Renate_Will-by-16","/wiki/Renate_Will","FDP","FDP","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-03-20,2013-07-18,"by",16
"BY.103","/wiki/Thomas_Kreuzer_(Politiker)-by-17","/wiki/Thomas_Kreuzer_(Politiker)","CSU","CSU","Fraktionsvorsitz","Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
"BY.104","/wiki/Karl_Freller-by-17","/wiki/Karl_Freller","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2013-10-07,2018-09-27,"by",17
